Picture,,,,Cell Comparison,,,,,,,,,
SR NO,Category,Parameter,Unit,COSPOWER,EVE,HITHIUM,YOUNGY ENERGY,GREAT POWER,CORNEX, Tianneng Energy,REPT,NETC,Remarks
1,Commercial,Manufacturer/Model,-,COSPOWER / FP71173207A-314Ah,MB31,LFP71173207,RBA4F1,GSP71173204F,PF173 - 314A,TNS71173207B314,,,
2,Commercial,Manufacturer Production Capacity (314Ah),GWh,,,,,,,,,,
3,Commercial,Manufacturer Plant Capacity,GWh,,,,,,,,,,
4,Commercial,Company age,Years,,,,,,,,,,
5,General,Refrence Image,-,Picture,Picture,Picture,Picture,Picture,Picture,Picture,Picture,Picture,
6,General,Cell Chemistry,-,LFP,LFP,LFP,LFP,LFP,LFP,LFP,LFP,LFP,
7,General,Cell Format,-,Prismatic,Prismatic,Prismatic,Prismatic,Prismatic,Prismatic,Prismatic,Prismatic,Prismatic,
8,Electrical,Nominal Voltage,V,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,
9,Electrical,Rated Capacity,Ah,314,314,314,314,314,314,314,314,314,
10,Electrical,Energy,Wh,1004.8,1004.8,1004.8,1004.8,1004.8,1004.8,1004.8,1004.8,1004.8,
11,Electrical,Charge Cutoff voltage,V,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,
12,Electrical,Discharge Cutoff voltage,V,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,
13,Electrical,Cell RTE,%,,,,,,,,,≥ 94.5%,
14,Energy Density,Gravimetric Energy Density,Wh/kg,179.4285714,179.4285714,179.4285714,182.6909091,182.6909091,179.4285714,174.7478261,,179.4285714,
15,Energy Density,Volumetric Energy Density,Wh/L,390.9727626,389.4573643,385,389.4573643,390.9727626,389.4573643,386.4615385,,389.4573643,
16,Power,Standard Charge / Discharge Current, C rate,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
17,Power,Internal Resistance (ACIR),mΩ,0.17 ± 0.05,0.18 ± 0.05,0.20 ± 0.05,0.195 ± 0.035,0.2 ± 0.05,0.19±0.05mΩ,≤0.25 mΩ,,≤0.25 mΩ,
18,Life time,Cycle Life,Cycles," 9000 cycle at
25±2℃ 
70%SOH"," 8000 cycle at
25±2℃ 
70%SOH","＞11000 cycle at  
25±2℃
 70%SOH","≥ 9000 cycle at
  25±2℃ 
70%SOH","≥ 8000 cycle at
25±2℃ 
70%SOH","8000 cycle at
25℃±2℃
70%SOH","≥ 8000 cycle at
25±2℃ 
70%SOH",,"≥ 8000 cycle at
25±2℃ 
70%SOH",
19,Life time,Cycle life given at DoD,%,,100,,,,,,,100,
20,Thermal,Charge Operating Temp,°C,5 ~ 60,0～ 60,0 ～ 60,0 ～ 55,0 ～ 60,0 ～ 60,0 ～ 60,,0 ～ 60,EVE and Great power cell providing similar temperature operating range as HITHIUM
21,Thermal,DisCharge Operating Temp,°C,-20 ~ 60,-30 ～ 60,-30 ～ 60,-20 ～ 55,-30 ～ 60,-20 ～ 60,-20 ～ 60,,-20 ～ 60,
22,Thermal,Storage temperature,°C,-20 ~ 35,-20 ～ 35,-20～ 35,5～ 25,-10 ～ 30,"-10 ～ 30 @Storage ambient humidity ≤75% RH, no
condensation.",-20 ～ 25,,10 ～ 25,
23,Physical,Dimensions,mm,"W- 173.8±0.5
H - 207.2±0.5 
T - 71.5±0.5","W - 173.7±0.5
H - 207.2±0.5
T - 71.70±0.8","W-174.70 ± 0.5
H-204.47 ± 0.5 
T-71.70 ± 0.5","W-174.3 ± 0.5 
H- 207.1±0.5 
T-71.6±0.5 ","W-173.90 ± 0.8 
H- 206.50±0.8
T-71.70±0.5","W-174.4 ± 0.85
H- 207.2±0.5
T-71.70±0.5 
Thickness test condition: 27%SOC, pressure of
300±20kgf","W-173.8± 1
H- 207.2±1
T-71.70±0.8 
(300±20kgf)",,"W-173.5±0.8
H- 207.2±0.8
T-71.8±0.8 
(300±20kgf)","CP,EVE,YE and GP cells Hight dimensions is 3mm Higher then HITHIUM Cell and minor dimension change in Width and Thickness."
24,Physical,Weight,Kg,5.60±0.3,5.60±0.3,5.60±0.3,5.5 ± 0.3 ,5.50 ± 0.15 ,5.60 ± 0.084,5.75±0.15,,5.6,Weight Almost same of all brand.
25,Compliance,Certifications,-,"UN38.3
UL1973 
UL9540A 
IEC62619","GB/T 36276-2018
IEC 62619-2022
UL 1973-2022
UL 9540-2019
UN38.3-2019 ","GB/T 36276-2018
IEC 62619-2022
UL 1973-2022
UL 9540-2019
UN38.3-2019 ","GB/T 36276-2018
UN 38.3","GB/T36276-2023
UL9540A
UL1973
IEC62619
UN38.3","GB/T36276-2023
UL9540A
UL1973
IEC62619
UN38.3",GB/T36276-2023,,"GB/T36276-2023
UN38.3","1. EVE only mention one certification details.
2. GP Contains same certification as Hithium.
3.We required UL9540A,UL1973 & IEC62619 certification details from YE.
4. required GB/T 36276-2018 detail from CP."
26,Advait – Open Action Items,Legal,-,,,,,,,,,,
27,Advait – Open Action Items,Commercial ,-,57USD/KWh,53.5USD/KWh,,,,51.2USD/KWh,,54.5USD/KWh,,
28,Advait – Open Action Items,Technical,-,Pending - Technical Docs,Received - Technical Docs,Received - Technical Docs,Pending - Technical Docs,Pending - Technical Docs,Received - Technical Docs,Pending - Technical Docs,Pending - Technical Docs,Pending - Technical Docs,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
